Your time is limited,;Seu tempo é limitado, 
so don’t waste it living someone else’s life. ;então não desperdice ele (o tempo), vivendo a vida de outra pessoa. 
Don’t be trapped by dogma;Não seja aprisionado por dogmas	
which is living with the results of other people’s thinking.	;que é viver com os resultados do pensamento de outras pessoas. 
Don’t let the noise of other’s opinions;Não deixe o ruído das opiniões dos outros 
drown out your own inner voice.;abafar sua própria voz interna. 
And most important,;E o mais importante, 
have the courage to follow your heart and intuition.;tenha a coragem para seguir seu coração e intuição. 
They somehow already know;Eles de algum modo já sabem 
what you truly want to become.;o que você verdadeiramente quer se tornar. 
Everything else is secondary.;Todo o resto é secundário. 
When I was young,;Quando eu era jovem,
there was an amazing publication;existia/havia/tinha uma incrível publicação 
called The Whole Earth Catalog,;chamada O Catálogo de Toda a Terra, 
which is one of the bibles of my generation.;que é uma das bíblias da minha geração. 
It was created by a fellow named Stewart Brand;Ela foi criada por um camarada chamado Stewart Brand 
not far from here in Menlo Park,;não longe daqui em Menlo Park, 
and he brought it to life with his poetic touch.;e ele deu vida a ela com seu toque poético. 
This was in the late 60s,;Isso foi no final dos anos 60, 
before personal computers and desktop publishing,;antes dos computadores pessoais e da editoração eletrônica, 
and it was all made with typewriters, scissors, and Polaroid cameras.;e foi tudo feito com máquinas de escrever, tesouras e câmeras Polaroid.	
It was sort of like Google in paperback form,;Era mais ou menos como o Google em formato de livro de capa mole, 
35 years before Google came along:;35 anos antes do Google aparecer: 
it was idealistic, overflowing with neat tools, and great notions.;;era idealista, transbordando com ótimas ferramentas e grandes noções. 
Stewart and his team put out several issues of The Whole Earth Catalog,	;Stewart e sua equipe publicaram diversas edições do O Catálogo de Toda a Terra, 
and then when it had run its course,;e então quando ele tinha chegado ao seu final, 
they put out a final issue.;eles publicaram uma edição final. 
It was the mid 1970s, and I was your age.;Era meados dos anos 70, e eu tinha a idade de vocês. 
On the back cover of their final issue,		;Na contracapa da edição final deles, 
was a photograph of an early morning country road,;havia (tinha) uma fotografia de uma estrada rural de manhã cedo, 
the kind you might find yourself hitchhiking on;o tipo em que você poderia encontrar a si mesmo / estar pedindo carona 
if you were so adventurous.;se você fosse muito aventureiro. 
Beneath it were the words:;Abaixo dela estavam as palavras: 
“Stay Hungry. Stay Foolish.”;“Continue com fome. Continue tolo.” 
It was their farewell message;Foi a mensagem de despedida/adeus deles 
as they signed off.;conforme eles anunciavam o final/término. 
Stay Hungry. Stay Foolish.;Continue com fome. Continue tolo.
And I have always wished that for myself.;E eu sempre desejei isso para mim mesmo. 
And now, as you graduate to begin anew,;E agora, conforme vocês se formam para começar novamente/de forma do diferente, 
I wish that for you. Stay Hungry. Stay Foolish.;Eu desejo isso para vocês. Continuem com fome. Continuem tolos. 
Thank you all very much.;Muito obrigado a todos vocês. 
